"Summon Frenzied Bloodseeker Bats",23974,"Summon Frenzied Bloodseeker Bats",,"Spell_Shadow_DeathScream",0,"False",0,0,0,50000
"Mana Regeneration",61268,"Mana Regeneration",,"Spell_Holy_SealOfSacrifice",0,"False",0,0,0,0
"Deft Hessonite",73265,"Deft Hessonite",,"INV_Misc_Gem_01",0,"False",0,3000,0,0
"Aggression (Rank 1)",18427,"Aggression","Rank 1","Ability_Racial_Avatar",0,"False",0,0,0,0
"Dark Whispers",16587,"Dark Whispers",,"Spell_Shadow_Haunting",250,"False",0,3000,0,40
"Great Resistance(Rank 2)",53429,"Great Resistance","Rank 2","Spell_Nature_ResistNature",0,"False",5,0,0,0
"Quest Phase 09",73756,"Quest Phase 09",,"Trade_Engineering",0,"False",0,0,0,0
"Increased Frost Resist 35",14574,"Increased Frost Resist 35",,"Trade_Engineering",0,"False",0,0,0,0
"Lok'tar ogar!",58560,"Lok'tar ogar!",,"Spell_Misc_HellifrePVPThrallmarFavor",0,"False",0,0,0,0
"Thorium Widget",19791,"Thorium Widget",,"Trade_Engineering",0,"False",0,3000,0,0
"Demonic Knowledge",35693,"Demonic Knowledge","Rank 3","Spell_Shadow_ImprovedVampiricEmbrace",0,"False",0,0,0,0
"Summon the Brewmaiden",48041,"Summon the Brewmaiden",,"Trade_Engineering",0,"False",0,0,0,0
"Simon Game pre-game Begin, red",40178,"Simon Game pre-game Begin, red",,"Trade_Engineering",0,"False",0,0,0,20
"Salvage Saws Visual",65087,"Salvage Saws Visual",,"Trade_Engineering",0,"False",0,0,0,0
"Jonathan Dying",50666,"Jonathan Dying",,"Spell_Shadow_LifeDrain",0,"False",0,0,0,15
"Increase Spell Dam 520",54192,"Increase Spell Dam 520",,"Trade_Engineering",0,"False",0,0,0,0
"Bash",25515,"Bash",,"Ability_Warrior_DecisiveStrike",50,"False",0,0,0,10
"Shadowmend",39373,"Shadowmend",,"Spell_Shadow_UnsummonBuilding",0,"False",0,0,0,0
"Lightning Charged",64975,"Lightning Charged",,"Spell_Nature_LightningOverload",0,"False",0,0,0,0
"Increased Resilience 50",63972,"Increased Resilience 50",,"Trade_Engineering",0,"False",0,0,0,0
"Drake Essence",38543,"Drake Essence",,"Spell_Nature_NullifyPoison_02",0,"False",0,0,0,30
"Stormpike Battle Charger",23510,"Stormpike Battle Charger",,"Ability_Mount_MountainRam",0,"False",0,1500,0,0
"Flamebringer Summon Cue",48606,"Flamebringer Summon Cue",,"Trade_Engineering",0,"False",0,0,0,10
"Increased Intellect 05",41827,"Increased Intellect 05",,"Trade_Engineering",0,"False",0,0,0,0
"Mana Leech",28305,"Mana Leech","Passive","Spell_Shadow_ShadowMend",0,"False",0,0,0,100
"Lay on Hands (Rank 2)",9257,"Lay on Hands","Rank 2","Spell_Holy_LayOnHands",0,"False",0,0,0,50000
"Increase Spell Dam 37",18054,"Increase Spell Dam 37",,"Trade_Engineering",0,"False",0,0,0,0
"Holy Protection (Rank 3)",7247,"Holy Protection","Rank 3","Spell_Holy_BlessingOfProtection",0,"False",0,0,0,0
"Increase Spell Dam 42",28015,"Increase Spell Dam 42",,"Trade_Engineering",0,"False",0,0,0,0
"Forethought Talisman",60529,"Forethought Talisman",,"Trade_Engineering",0,"False",0,0,0,0
"Jagged Knife",55550,"Jagged Knife",,"INV_Weapon_ShortBlade_12",0,"False",0,0,5,45
"City Attacks Defender onSpawn",56433,"City Attacks Defender onSpawn",,"Trade_Engineering",0,"False",0,0,0,100
"Attack Power 10",41672,"Attack Power 10",,"Trade_Engineering",0,"False",0,0,0,0
"Life of the Party: Paparazzi",66929,"Life of the Party: Paparazzi",,"Trade_Engineering",0,"False",0,0,0,0
"Birth - No Visual (Instant Spawn)",40031,"Birth - No Visual (Instant Spawn)",,"Trade_Engineering",0,"False",0,0,0,0
"Piercing Shots",53238,"Piercing Shots","Rank 3","Ability_Hunter_PiercingShots",0,"False",0,0,0,0
"Glyph of Drain Soul",58070,"Glyph of Drain Soul",,"Spell_Shadow_Haunting",0,"False",0,0,0,0
"Throw Short Pass",44023,"Throw Short Pass",,"Trade_Engineering",0,"False",0,0,0,100
"Throw Meat",71775,"Throw Meat",,"Ability_Hunter_Pet_Devilsaur",0,"False",0,1500,0,40
"Green Iron Hauberk",3508,"Green Iron Hauberk",,"Spell_Shadow_SealOfKings",0,"False",0,45000,0,0
"Tiki Target Visual 1",71064,"Tiki Target Visual 1",,"Trade_Engineering",0,"False",0,0,0,0
"Summon Unliving Stalker",32856,"Summon Unliving Stalker",,"Spell_Shadow_BlackPlague",0,"False",0,0,0,0
"Attack Power 74",15823,"Attack Power 74",,"Trade_Engineering",0,"False",0,0,0,0
"Undercity Commendation Badge",63841,"Undercity Commendation Badge",,"Trade_Engineering",0,"False",0,0,0,0
"Valgarde Broadcast 004-3",42887,"Valgarde Broadcast 004-3",,"Trade_Engineering",0,"False",0,0,0,15
"Increased Fire Resist 14",14594,"Increased Fire Resist 14",,"Trade_Engineering",0,"False",0,0,0,0
"Frost Ward(Rank 3)",8464,"Frost Ward","Rank 3","Spell_Frost_FrostWard",0,"False",0,0,0,100
"Superheated Winds",66278,"Superheated Winds",,"Spell_Shaman_StormEarthFire",0,"False",0,0,0,0
"Russell's Test Hellfire Effect!!(Rank 1)",45024,"Russell's Test Hellfire Effect!!","Rank 1","Spell_Fire_SealOfFire",0,"False",0,0,0,0
"Recipe: Cauldron of Major Nature Protection",41506,"Recipe: Cauldron of Major Nature Protection",,"Trade_Alchemy",0,"False",0,3000,0,100
"Lightning Breath(Rank 4)",25015,"Lightning Breath","Rank 4","Spell_Nature_Lightning",0,"False",0,0,0,100
"Ferocious Enrage",52400,"Ferocious Enrage",,"Spell_Shadow_UnholyFrenzy",0,"False",0,0,0,0
"Portal Effect: Acherus",53099,"Portal Effect: Acherus",,"Trade_Engineering",0,"False",0,0,0,8
"On Plate - Cranberries, Throw Visual",61821,"On Plate - Cranberries, Throw Visual",,"inv_thanksgiving_cranberrysauce",0,"False",0,0,0,100
"Forsaken Ability: Movement",7042,"Forsaken Ability: Movement",,"Ability_Kick",0,"False",0,0,0,0
"Mana Regen 5%",32102,"Mana Regen 5%",,"Spell_Arcane_Arcane01",0,"False",0,0,0,0
"Incendiary Bomb",42707,"Incendiary Bomb",,"Trade_Engineering",0,"False",0,0,0,0
"Light Blessed Mittens",56022,"Light Blessed Mittens",,"Trade_Tailoring",0,"False",0,25000,0,0
"Summon Party Bot",7975,"Summon Party Bot",,"Spell_Nature_ProtectionformNature",0,"False",0,0,0,0
"Amplify Magic(Rank 4)",10172,"Amplify Magic","Rank 4","Spell_Holy_FlashHeal",0,"False",0,0,0,100
"Unlearn Shadoweave Tailoring",41559,"Unlearn Shadoweave Tailoring",,"Trade_Tailoring",0,"False",0,0,0,50000
"Uldaman Sub-Boss Agro",11568,"Uldaman Sub-Boss Agro",,"Spell_Nature_EarthBindTotem",0,"False",0,5000,0,0
"Sword Specialization (Rank 3)",4352,"Sword Specialization","Rank 3","Ability_MeleeDamage",0,"False",0,0,0,0
